name,findName,country,longitude,latitude
Darab,DARAB,IR,54.544441,28.75194
Damghan,DAMGHAN,IR,54.348,36.168301
Damavand,DAMAVAND,IR,52.064999,35.717781
Chenaran,CHENARAN,IR,59.121231,36.645458
Chalus,CHALUS,IR,51.420399,36.654999
Bandar Bushehr,BANDAR BUSHEHR,IR,50.838501,28.968399
Bukan,BUKAN,IR,46.2089,36.521
Borujerd,BORUJERD,IR,48.751598,33.897301
Borujen,BORUJEN,IR,51.2873,31.965231
Borazjan,BORAZJAN,IR,51.2159,29.2666
Bojnurd,BOJNURD,IR,57.329029,37.474731
Birjand,BIRJAND,IR,59.221142,32.86628
Bijar,BIJAR,IR,47.605061,35.866798
Bonab,BONAB,IR,46.056099,37.340401
Behshahr,BEHSHAHR,IR,53.55262,36.692348
Behbahan,BEHBAHAN,IR,50.241699,30.5959
Baneh,BANEH,IR,45.8853,35.997501
Bandar-e Lengeh,BANDAR-E LENGEH,IR,54.880669,26.55792
Bandar Emām Khomeynī,BANDAR EMāM KHOMEYNī,IR,49.076279,30.429831
Bandar-e Anzali,BANDAR-E ANZALI,IR,49.4622,37.472698
Bandar Abbas,BANDAR ABBAS,IR,56.2808,27.186501
Bam,BAM,IR,58.356998,29.106001
Bahar,BAHAR,IR,48.441399,34.9072
Bafq,BAFQ,IR,55.410671,31.612829
Babolsar,BABOLSAR,IR,52.6576,36.702511
Babol,BABOL,IR,52.678951,36.551319
Azna,AZNA,IR,48.930698,33.609501
Hashtrud,HASHTRUD,IR,47.0508,37.477901
Astara,ASTARA,IR,48.872002,38.4291
Astaneh-ye Ashrafiyeh,ASTANEH-YE ASHRAFIYEH,IR,49.944439,37.259621
Asadabad,ASADABAD,IR,48.11853,34.78241
Ardestan,ARDESTAN,IR,52.3694,33.376099
Ardakan,ARDAKAN,IR,54.017471,32.310009
Ardabil,ARDABIL,IR,48.293301,38.249802
Arak,ARAK,IR,49.689159,34.09174
Amol,AMOL,IR,52.350719,36.469608
Alvand,ALVAND,IR,49.167801,36.318699
Shahriar,SHAHRIAR,IR,51.059299,35.659599
Aligudarz,ALIGUDARZ,IR,49.694901,33.400631
Aleshtar,ALESHTAR,IR,48.261902,33.8633
Akbarabad,AKBARABAD,IR,52.779301,29.246401
Ajab Shir,AJAB SHIR,IR,45.894299,37.4776
Ahvaz,AHVAZ,IR,48.6693,31.320299
Ahar,AHAR,IR,47.069901,38.477402
Aghajari,AGHAJARI,IR,49.831501,30.7006
Abyek,ABYEK,IR,50.549999,36.066669
Abhar,ABHAR,IR,49.217999,36.146801
Abdanan,ABDANAN,IR,47.4198,32.992599
Abadeh,ABADEH,IR,52.6506,31.160801
Abadan,ABADAN,IR,48.304298,30.339199
Saurimo,SAURIMO,AO,20.39155,-9.66078
Lucapa,LUCAPA,AO,20.744659,-8.41915
Paphos,PAPHOS,CY,32.416672,34.76667
Nicosia,NICOSIA,CY,33.366669,35.166672
Limassol,LIMASSOL,CY,33.033329,34.674999
Larnaca,LARNACA,CY,33.629169,34.916672
Kyrenia,KYRENIA,CY,33.316669,35.341671
Famagusta,FAMAGUSTA,CY,33.950001,35.125
Telmankend,TELMANKEND,AZ,48.399021,39.87867
Shushi,SHUSHI,AZ,46.749191,39.75893
Salyan,SALYAN,AZ,48.980549,39.59362
Neftcala,NEFTCALA,AZ,49.247219,39.374168
Nakhchivan,NAKHCHIVAN,AZ,45.41222,39.208889
Imishli,IMISHLI,AZ,48.059952,39.870949
Dzhalilabad,DZHALILABAD,AZ,48.491859,39.209629
Pushkino,PUSHKINO,AZ,48.544998,39.458328
Astara,ASTARA,AZ,48.874981,38.455978
Sirvan,SIRVAN,AZ,48.928551,39.937881
Agdam,AGDAM,AZ,46.927361,39.990959
Zanzibar,ZANZIBAR,TZ,39.197929,-6.16394
Wete,WETE,TZ,39.729382,-5.05589
Vwawa,VWAWA,TZ,32.933331,-9.11667
Vikindu,VIKINDU,TZ,39.298489,-7.00667
Uyovu,UYOVU,TZ,31.525829,-3.28333
